Algorithm,Result,WFG1,WFG2,WFG3,WFG4,WFG5,WFG6,WFG7,WFG8,WFG9,ZDT1,ZDT2,ZDT3,ZDT4,ZDT6,Sum
MGPSO,Wins,3.0,3.0,0.0,2.0,2.0,0.0,1.0,4.0,1.0,2.0,0.0,2.0,0.0,3.0,23.0
MGPSO,Losses,2.0,2.0,5.0,3.0,3.0,5.0,4.0,1.0,4.0,3.0,5.0,3.0,0.0,2.0,42.0
MGPSO,Net,1.0,1.0,-5.0,-1.0,-1.0,-5.0,-3.0,3.0,-3.0,-1.0,-5.0,-1.0,0.0,1.0,-19.0
MGPSO,Rank,3.0,3.0,6.0,4.0,4.0,6.0,5.0,2.0,5.0,4.0,6.0,4.0,1.0,3.0,4.0
SGMGPSO,Wins,1.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,4.0,0.0,1.0,1.0,0.0,5.0,26.0
SGMGPSO,Losses,4.0,3.0,3.0,2.0,4.0,4.0,2.0,3.0,1.0,5.0,4.0,4.0,0.0,0.0,39.0
SGMGPSO,Net,-3.0,-1.0,-1.0,1.0,-3.0,-3.0,1.0,-1.0,3.0,-5.0,-3.0,-3.0,0.0,5.0,-13.0
SGMGPSO,Rank,5.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0,2.0,6.0,5.0,5.0,1.0,1.0,3.79
SGMGPSO_FULL,Wins,5.0,1.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,0.0,4.0,53.0
SGMGPSO_FULL,Losses,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,12.0
SGMGPSO_FULL,Net,5.0,-3.0,3.0,5.0,3.0,5.0,3.0,5.0,5.0,3.0,1.0,3.0,0.0,3.0,41.0
SGMGPSO_FULL,Rank,1.0,5.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.86
SGMGPSO_PD,Wins,2.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,14.0
SGMGPSO_PD,Losses,3.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,2.0,4.0,3.0,5.0,0.0,4.0,51.0
SGMGPSO_PD,Net,-1.0,-5.0,-3.0,-3.0,-5.0,-1.0,-5.0,-3.0,1.0,-3.0,-1.0,-5.0,0.0,-3.0,-37.0
SGMGPSO_PD,Rank,4.0,6.0,5.0,5.0,6.0,4.0,6.0,5.0,3.0,5.0,4.0,6.0,1.0,5.0,4.64
SGMGPSO_TVSR,Wins,4.0,4.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,5.0,3.0,0.0,2.0,41.0
SGMGPSO_TVSR,Losses,1.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,0.0,2.0,0.0,3.0,24.0
SGMGPSO_TVSR,Net,3.0,3.0,1.0,3.0,1.0,1.0,-1.0,1.0,-1.0,1.0,5.0,1.0,0.0,-1.0,17.0
SGMGPSO_TVSR,Rank,2.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,1.0,3.0,1.0,4.0,2.71
SGPSO,Wins,0.0,5.0,5.0,0.0,5.0,4.0,5.0,0.0,0.0,5.0,4.0,5.0,0.0,0.0,38.0
SGPSO,Losses,5.0,0.0,0.0,5.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,5.0,27.0
SGPSO,Net,-5.0,5.0,5.0,-5.0,5.0,3.0,5.0,-5.0,-5.0,5.0,3.0,5.0,0.0,-5.0,11.0
SGPSO,Rank,6.0,1.0,1.0,6.0,1.0,2.0,1.0,6.0,6.0,1.0,2.0,1.0,1.0,6.0,2.93
