Algorithm,Result,WFG1,WFG2,WFG3,WFG4,WFG5,WFG6,WFG7,WFG8,WFG9,ZDT1,ZDT2,ZDT3,ZDT4,ZDT6,Sum
MGPSO,Wins,5.0,4.0,0.0,1.0,2.0,0.0,0.0,4.0,1.0,2.0,0.0,2.0,1.0,2.0,24.0
MGPSO,Losses,0.0,1.0,5.0,4.0,3.0,5.0,5.0,1.0,4.0,3.0,5.0,3.0,4.0,3.0,46.0
MGPSO,Net,5.0,3.0,-5.0,-3.0,-1.0,-5.0,-5.0,3.0,-3.0,-1.0,-5.0,-1.0,-3.0,-1.0,-22.0
MGPSO,Rank,1.0,2.0,6.0,5.0,4.0,6.0,6.0,2.0,5.0,4.0,6.0,4.0,5.0,4.0,4.29
SGMGPSO,Wins,1.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,5.0,0.0,1.0,1.0,5.0,3.0,30.0
SGMGPSO,Losses,4.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,0.0,5.0,4.0,4.0,0.0,2.0,40.0
SGMGPSO,Net,-3.0,-1.0,1.0,-1.0,-3.0,-3.0,1.0,-1.0,5.0,-5.0,-3.0,-3.0,5.0,1.0,-10.0
SGMGPSO,Rank,5.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,1.0,6.0,5.0,5.0,1.0,3.0,3.86
SGMGPSO_FULL,Wins,4.0,1.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,1.0,52.0
SGMGPSO_FULL,Losses,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,4.0,18.0
SGMGPSO_FULL,Net,3.0,-3.0,5.0,5.0,3.0,5.0,3.0,5.0,3.0,3.0,1.0,3.0,1.0,-3.0,34.0
SGMGPSO_FULL,Rank,2.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,5.0,2.29
SGMGPSO_PD,Wins,2.0,0.0,2.0,3.0,0.0,3.0,1.0,1.0,3.0,1.0,2.0,0.0,4.0,5.0,27.0
SGMGPSO_PD,Losses,3.0,5.0,3.0,2.0,5.0,2.0,4.0,4.0,2.0,4.0,3.0,5.0,1.0,0.0,43.0
SGMGPSO_PD,Net,-1.0,-5.0,-1.0,1.0,-5.0,1.0,-3.0,-3.0,1.0,-3.0,-1.0,-5.0,3.0,5.0,-16.0
SGMGPSO_PD,Rank,4.0,6.0,4.0,3.0,6.0,3.0,5.0,5.0,3.0,5.0,4.0,6.0,2.0,1.0,4.07
SGMGPSO_TVSR,Wins,3.0,5.0,4.0,4.0,3.0,2.0,2.0,3.0,2.0,3.0,5.0,3.0,0.0,4.0,43.0
SGMGPSO_TVSR,Losses,2.0,0.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,2.0,5.0,1.0,27.0
SGMGPSO_TVSR,Net,1.0,5.0,3.0,3.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,5.0,1.0,-5.0,3.0,16.0
SGMGPSO_TVSR,Rank,3.0,1.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,3.0,1.0,3.0,6.0,2.0,2.93
SGPSO,Wins,0.0,3.0,1.0,0.0,5.0,4.0,5.0,0.0,0.0,5.0,4.0,5.0,2.0,0.0,34.0
SGPSO,Losses,5.0,2.0,4.0,5.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,0.0,3.0,5.0,36.0
SGPSO,Net,-5.0,1.0,-3.0,-5.0,5.0,3.0,5.0,-5.0,-5.0,5.0,3.0,5.0,-1.0,-5.0,-2.0
SGPSO,Rank,6.0,3.0,5.0,6.0,1.0,2.0,1.0,6.0,6.0,1.0,2.0,1.0,4.0,6.0,3.57
