Function,MGPSO,SGMGPSO,SGMGPSO-PD-TVSR,SGMGPSO_PD,SGMGPSO_TVSR,SGPSO
WFG1,2.0,5.0,1.0,4.0,3.0,6.0
WFG2,3.0,4.0,5.0,6.0,2.0,1.0
WFG3,6.0,4.0,1.0,5.0,3.0,2.0
WFG4,2.0,4.0,1.0,5.0,3.0,6.0
WFG5,3.0,5.0,2.0,6.0,4.0,1.0
WFG6,6.0,5.0,1.0,4.0,3.0,2.0
WFG7,5.0,4.0,2.0,6.0,3.0,1.0
WFG8,2.0,4.0,1.0,5.0,3.0,6.0
WFG9,5.0,1.0,2.0,3.0,4.0,6.0
ZDT1,4.0,5.0,2.0,6.0,3.0,1.0
ZDT2,6.0,5.0,3.0,4.0,1.0,2.0
ZDT3,4.0,5.0,2.0,6.0,3.0,1.0
ZDT4,1.0,1.0,1.0,1.0,1.0,1.0
ZDT6,4.0,5.0,1.0,2.0,3.0,6.0
Average,3.79,4.07,1.79,4.5,2.79,3.0
Deviation,1.67,1.38,1.12,1.61,0.89,2.35
